ID Group,Group,ID Subgroup,Subgroup,ID Occupation,Occupation,ID Year,Year,ID State,State,Workforce by Occupation and Gender,Workforce by Occupation and Gender Moe,Geography,ID Geography,Slug Geography
0,"Management, Business, Science, & Arts Occupations",0,"Management, Business, & Financial Occupations",1,"Business & Financial Operations Occupations",2017,"2017","04000US36","New York",247729,8739.839815465728,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",2,"Computer & Mathematical Occupations",2017,"2017","04000US36","New York",115665,5546.890480260089,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",3,"Architecture & Engineering Occupations",2017,"2017","04000US36","New York",42351,4034.035448530417,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",1,"Computer, Engineering, & Science Occupations",4,"Life, Physical, & Social Science Occupations",2017,"2017","04000US36","New York",33221,3080.65983191913,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",5,"Community & Social Service Occupations",2017,"2017","04000US36","New York",90553,5676.191769135359,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",6,"Legal Occupations",2017,"2017","04000US36","New York",81047,5018.0362692989775,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",7,"Education Instruction, & Library Occupations",2017,"2017","04000US36","New York",257358,8285.928855596094,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",2,"Education, Legal, Community Service, Arts, & Media Occupations",8,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017","04000US36","New York",205446,8108.904981561936,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",9,"Health Diagnosing & Treating Practitioners & Other Technical Occupations",2017,"2017","04000US36","New York",158090,6802.203319513464,"New York, NY","16000US3651000","new-york-ny"
0,"Management, Business, Science, & Arts Occupations",3,"Healthcare Practitioners & Technical Occupations",10,"Health Technologists & Technicians",2017,"2017","04000US36","New York",65934,4399.8531793686025,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",11,"Healthcare Support Occupations",2017,"2017","04000US36","New York",208693,7260.029269913448,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",14,"Food Preparation & Serving Related Occupations",2017,"2017","04000US36","New York",239638,9979.485557883232,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",15,"Building & Grounds Cleaning & Maintenance Occupations",2017,"2017","04000US36","New York",183437,8374.362841434564,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",4,"Service Occupations",16,"Personal Care & Service Occupations",2017,"2017","04000US36","New York",210312,8520.07805128568,"New York, NY","16000US3651000","new-york-ny"
1,"Service Occupations",5,"Protective Service Occupations",12,"Fire Fighting & Prevention, & Other Protective Service Workers Including Supervisors",2017,"2017","04000US36","New York",72458,4409.926643380817,"New York, NY","16000US3651000","new-york-ny"
