ID Occupation,Occupation,ID Year,Year,Median Earnings by Occupation,Median Earnings by Occupation Moe,Geography,ID Geography,Slug Geography
14,"Healthcare Practitioners & Technical Occupations",2014,"2014",65857,1231,"New York, NY","16000US3651000","new-york-ny"
1,"Management, Business, Science, & Arts Occupations",2016,"2016",65525,588,"New York, NY","16000US3651000","new-york-ny"
14,"Healthcare Practitioners & Technical Occupations",2015,"2015",65124,2891,"New York, NY","16000US3651000","new-york-ny"
8,"Life, Physical, & Social Science Occupations",2017,"2017",64510,7618,"New York, NY","16000US3651000","new-york-ny"
7,"Architecture & Engineering Occupations",2013,"2013",63641,3920,"New York, NY","16000US3651000","new-york-ny"
21,"Law Enforcement Workers Including Supervisors",2013,"2013",63206,7039,"New York, NY","16000US3651000","new-york-ny"
21,"Law Enforcement Workers Including Supervisors",2016,"2016",62387,5247,"New York, NY","16000US3651000","new-york-ny"
1,"Management, Business, Science, & Arts Occupations",2015,"2015",62294,511,"New York, NY","16000US3651000","new-york-ny"
1,"Management, Business, Science, & Arts Occupations",2013,"2013",61984,428,"New York, NY","16000US3651000","new-york-ny"
1,"Management, Business, Science, & Arts Occupations",2014,"2014",61905,342,"New York, NY","16000US3651000","new-york-ny"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2018,"2018",61209,824,"New York, NY","16000US3651000","new-york-ny"
8,"Life, Physical, & Social Science Occupations",2016,"2016",60871,2559,"New York, NY","16000US3651000","new-york-ny"
8,"Life, Physical, & Social Science Occupations",2013,"2013",60755,4472,"New York, NY","16000US3651000","new-york-ny"
8,"Life, Physical, & Social Science Occupations",2015,"2015",57665,6531,"New York, NY","16000US3651000","new-york-ny"
13,"Arts, Design, Entertainment, Sports, & Media Occupations",2017,"2017",56875,1673,"New York, NY","16000US3651000","new-york-ny"
9,"Education, Legal, Community Service, Arts, & Media Occupations",2018,"2018",56445,963,"New York, NY","16000US3651000","new-york-ny"
8,"Life, Physical, & Social Science Occupations",2014,"2014",55323,4158,"New York, NY","16000US3651000","new-york-ny"
